system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Desktop\LUA_Test\LUA_SIClone\
display  D   display_settings.c:506  _al_score_display_settings       [   0.14538] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14539] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14541] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14542] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14544] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14545] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14547] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14550] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.14551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14553] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.14554] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14556] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.14557] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14558] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.14560] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14563] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14565] Single Buffer requirement not met.
